DATE_DEBUT;DATE_FIN;INTITULE_MANIFESTATION;ORGANISATEUR;DISCIPLINE;VILLE_DE_LA_MANIFESTATION;OBJET_DEMANDE;SUBVENTION
26/05/2012;28/05/2012;Ultimate - Yes But Nau;Frisbeurs Nantais;Ultimate;Le Pouliguen;Subvention ;2 000 €
03/06/2012;;Tournoi de Flag;C.D. Football Américain;Football Américain;Le Pouliguen;Subvention ;700 €
29/04/2012;;Championnat 44 twirling;ATLegé;Twirling;Legé;Promotion ;
01/07/2012;;6ème raid nature découverte;OIS;Multisports;Legé;Promotion ;
01/01/12;01/12/12;Solidaire du Chocolat - Actions d'insertion Valides - Handicapés;Association Promo Différence;Handisport;Les Moutiers en Retz;Subvention ;2 000 €
26/05/2012;28/05/2012;Les Trois Routes;Les Trois Routes;Roller Skating;Les Sorinières;Subvention ;2 000 €
10/06/2012;;Raid aventure;Vélo Club des Sorinières;Raid;Les Sorinières;Promotion ;
01/07/2012;;Concours gym;Elan Gym Les Sorinières;Gymnastique;Les Sorinières;Promotion ;
02/09/2012;;Course cycliste;Olympique Cycliste Lignéen;Cyclisme;Ligné;Promotion ;
08/12/2012;;Tournoi de badminton;Le Cellier Ligné Union Badminton;Badminton;Ligné;Promotion ;
06/04/2012;07/04/2012;Challenge cycliste  inter régions cadets ;Comité des fêtes de Louisfert;Cyclisme;Louisfert;Promotion ;
13/05/2012;;Challenges Inter-Région Cadets et Féminines;Comité des Fëtes de Louisfert;Cyclisme;Louisfert;Subvention ;1 000 €
07/04/2012;;Tournoi foot U11/U13;Alliance Sud Retz Machecoul-Fresnay;Football;Machecoul;Promotion ;
01/09/2012;02/09/2012;Grand Prix Cycliste de Machecoul;Machecoul Cycles Organisations;Cyclisme;Machecoul;Subvention ;1 500 €
11/06/2012;15/06/2012;Stage découverte BMX et VTT;ASD;Multisports;Mauves/Loire;Promotion ;
16/06/2012;17/06/2012;Folies Malviennes 24 heures VTT;AEM (Association événementielle Malvienne);Cyclisme;Mauves/Loire;Subvention ;2 500 €
18/08/2012;19/08/2012;Concours de pêche ;La Carpe Mésangéenne;Pêche;Mésanger;Promotion ;
03/06/2012;;Triathlon ;Triathlon côte d'amour;Triathlon;Mesquer;Promotion ;
27/07/2012;29/07/2012;Concours de Sauts International;Société Hippique de la Boucle du Mès;Equitation;Mesquer;Subvention ;1 700 €
01/04/2012;;"Course entre ""Domaines et étangs""";St Pierre Missillac section athlétisme;Athlétisme;Missillac;Promotion ;
11/03/2012;;Grand prix cycliste;Comité des fêtes ;Cyclisme;Moisdon La Rivière;Promotion ;
22/06/2012;;Récompenses aux jeunes bénévoles;Comité départemental des médaillés jeunesse et sport;Multisports;Moisdon La Rivière;Promotion ;
23/04/2012;;Tournoi de foot;A.S du vignoble;Football;Monnières;Promotion ;
28/12/2012;;Tournoi nocturne basket;MGB Montbert Le Bignon Geneston;Basket;Montbert;Promotion ;
26/02/2012;;Circuit Vallée de la Loire;Comité des fêtes;Cyclisme;Mouzeil;Subvention ;3 000 €
08/06/2012;10/06/2012;Rallye du Vignoble;Team 3 Provinces;Automobile;"Mouzillon-Gorges
Clisson-Vallet";Subvention ;3 600 €
07/01/2012;08/01/2012;Coupe du Monde de baby-foot 2012;Fédération Française de Football de Table;Football de Table;Nantes;Subvention ;8 000 €
08/01/2012;;Championnats départementaux de Cross Country adulte;NEC Athlétisme;Athlétisme;Nantes;Subvention ;1 000 €
21/01/2012;22/01/2012;Championnat de France de Skateboard;Azymute Skate Club;Roller Skating;Nantes;Subvention ;1 300 €
22/01/2012;;Tournoi Echec ;Cercle d'échecs de Nantes;Echecs;Nantes;Promotion ;
28/01/2012;;Championnat régional de cross sport adapté;ELAN sport adapté;Sport adapté;Nantes;Promotion ;
04/02/2012;;Championnat de France élite dame;Hockey club nantais;Hockey sur gazon;Nantes;Subvention à l'année;
05/02/2012;;Challenges d'hiver;ASC Bonne Garde;Gymnastique;Nantes;Promotion ;
12/02/2012;;Vétathlon ;Société Nantaise de cyclisme;Vétathlon;Nantes;Promotion ;
12/02/2012;;challenge interrégional développer-coucher;Club Hathlétique Nantais;Haltérophilie;Nantes;Promotion ;
27/02/2012;;"Réception ""Femme et sport""";CDOS 44;;Nantes;Promotion ;
04/03/2012;;Coupe de la ligue;Mini auto club nantais;Automobile;Nantes;Promotion ;
11/03/2012;12/03/2012;Finales championnat de France hockey;Hockey club nantais;Hockey sur gazon;Nantes;Promotion ;
